"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",5,10,15,20,25,30,35,40,45,50,55,60,65,70
"2",191.766300812197,171.418894205634,159.948631434762,166.433152701623,163.24300954174,159.267221689109,155.755514284043,151.505157447022,156.721377004961,155.264295085345,157.462543396357,155.276418961428,154.976511417516,162.025006029685
