"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1",10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"2",32.2513715308473,30.8731001468426,29.8196591725068,29.9457512270235,29.3241638573175,29.6009560430854,29.4062132993841,30.3997272356872,29.5265372209028,29.8652552523979,29.4967136664347,30.3373516219048,29.2054766068118,29.9779340874314,28.9779921192192,28.3861247873301
