"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
"2",32.82963039112,29.619079615362,28.4714853117992,28.9298266896863,28.5383801252525,32.4390274624277,30.8299413203154,30.9008746883865,30.1348134634138,31.1492315019499,30.4561978668067,30.3411905970692,30.5131543877888,28.8608170238896,29.1710150567955,29.9337232850235,29.6987359244684,29.6880905739617,29.4279709002108,29.9370218936747,29.6951978447165,29.970372654978,29.7265150505444,29.2257254370014,28.8531914706646,28.8144738710063,28.847333493306,28.5104455832541,28.9854552072394,28.3037835504117,28.7921524002839,28.4821036273957,28.4125063009995,28.2705539288466,27.5497068122305,27.3759722958619,27.111324862178,27.185190082787,26.8597790782521,26.849179836316,26.7092203451132,27.1074888015745,26.4687522956202,26.2284214139046,26.5479405292583,26.7598520052076,25.93222963763,26.3096900837206,26.5940039883906,26.5362115568219
