virusesF,AG_x,AG_y,viruses,yearA
BI/16190/68,255.51219,333.82712,A/HK/1968,1968
BI/1761/76,251.91904,339.43457,A/Victoria/1975,1975
NL/233/82,247.27016,341.4549,A/Bangkok/1979,1979
NL/620/89,251.4247,346.58084,A/Beijing/1989,1989
WU/359/95,251.91289,352.938,A/Wuhan/1995,1995
FU/411/02,249.13725,361.69034,A/Fujian/2002,2002
A/BRISBANE/342/2003,248.38889,360.70255,A/ST/2003,2003
A/WISCONSIN/67/2005,252.80379,363.67255,A/ST/2005,2005
VN016/EL135/2008,251.26958,365.40567,A/ST/2008,2008
